"fips","POPPCT_URB"
"01001",0.864210858953665
"01003",0.927690838085098
"01005",0.769690952961557
"01007",0.874914376851554
"01009",0.561739035763013
"01011",0.973722579436757
"01013",0.872001338843953
"01015",0.814310254968024
"01017",0.811371099094744
"01019",0.572321113239051
"01021",0.712206884577297
"01023",0.655400738062752
"01025",0.776423686573956
"01027",0.601337672216921
"01029",0.692203930219636
"01031",0.936525485995009
"01033",0.8431294038504
"01035",0.860570930050942
"01037",0.859971395816087
"01039",0.778500522156875
"01041",0.719453767036624
"01043",0.642585928711112
"01045",0.919418874889426
"01047",0.885523229534093
"01049",0.408616019550245
"01051",0.774796435792956
"01053",0.797986310820567
"01055",0.801216620258568
"01057",0.810486898112873
"01059",0.716394022745848
"01061",0.568991562899924
"01063",0.701368550336152
"01065",0.667301309434569
"01067",0.706432065071622
"01069",0.951411022162034
"01071",0.624023819772243
"01073",0.974247815836615
"01075",0.606725362082096
"01077",0.823576497699842
"01079",0.585240577746001
"01081",0.914632222617805
"01083",0.747838783479194
"01085",0.851472064895953
"01087",0.965822558083604
"01089",0.941245504790211
"01091",0.847632096522077
"01093",0.519357021277263
"01095",0.704266835785783
"01097",0.939826031555653
"01099",0.729644687027596
"01101",0.989250245286256
"01103",0.832486358889494
"01105",0.682553296561497
"01107",0.599649441959476
"01109",0.914204677173926
"01111",0.676880027098951
"01113",0.930225551301882
"01115",0.662285423070479
"01117",0.917970085955334
"01119",0.570117089045038
"01121",0.757057358242341
"01123",0.689625200970527
"01125",0.941191460856467
"01127",0.686775035868858
"01129",0.833716626746467
"01131",0.670160125262836
"01133",0.564167114852156
"04001",0.932380924659177
"04003",0.890580343526027
"04005",0.953081161122389
"04007",0.878562597094554
"04009",0.872267306023458
"04011",0.953352294440063
"04012",0.865630987221049
"04013",0.991838107085206
"04015",0.947529559656788
"04017",0.961381157696376
"04019",0.980469943238791
"04021",0.940749017735886
"04023",0.918154577076597
"04025",0.896209925204919
"04027",0.971852274098135
"05001",0.941152115653129
"05003",0.911854173929974
"05005",0.762735671182466
"05007",0.913184686720802
"05009",0.715950485515353
"05011",0.920987645188524
"05013",0.588780340095394
"05015",0.749803549778176
"05017",0.825595692403032
"05019",0.825441670460522
"05021",0.829773727841634
"05023",0.725368410365896
"05025",0.73390426099191
"05027",0.829215760802427
"05029",0.906718268757337
"05031",0.872245999489144
"05033",0.791814993510008
