"GEOID","NAME","TOT_POP","WNH","BNH","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17"
"01001","Autauga County, Alabama",62492.96855546,37124.7200317119,18484.0648804059,1514.74707560476,1338.74572873914,1375.08149067269,1071.90497703965,1073.04046960007,1101.42778361066,1305.81644448686,1193.40268100495,836.858017032016,2050.69956412459,2249.41076219867,3299.74138059028,2671.81399467616,1140.03453066505,1149.11847114844,534.816995959402
"01003","Baldwin County, Alabama",414841.8545761,338559.350097755,38736.617370572,8716.65639557275,8839.05269412982,8057.75632167386,8337.22787004583,7725.24637726048,8902.29078171765,7339.6980368057,8822.73318765555,5919.90097354368,14593.7186646215,14995.5865115505,18826.5906563868,11138.0631686935,9041.00658674899,6766.47537189675,7284.61970245502
"01005","Barbour County, Alabama",22181.646172138,8881.80341722802,12435.4372787252,1044.69872815611,799.186061085389,603.622522832502,637.486338980188,446.155777745763,484.252570911909,502.031074389444,426.684083460843,268.370742970411,478.326403086064,551.980203207281,771.248412763548,442.769396130994,193.02375204181,66.8810368916798,64.3412506806033
"01007","Bibb County, Alabama",22181.551687936,14148.6887512019,4839.94423485066,424.376896775392,430.271020341717,399.818048582372,607.094727331464,280.953223328153,549.135845595936,342.841520774564,509.841688487103,266.217914412341,499.035795282174,683.718333693687,705.330120103545,465.635761739666,289.79440867764,253.44731335197,86.4471456394317
"01009","Blount County, Alabama",62818.09430885,47919.874145484,2134.02770232929,1821.3510965439,1247.27691719065,1171.02417989515,1266.88476392378,1583.87828610935,1530.5013700025,1071.895621411,1095.86076741816,1005.44680748207,2161.22043991812,2931.37308660266,2388.88932698611,1480.39242835117,706.97180721112,636.165694008157,438.997901858369
"01011","Bullock County, Alabama",9085.588091969,2122.87110781836,5820.00221824552,630.389629973417,391.067019419548,85.8439798725836,261.000383248966,233.252834199242,150.877297957874,85.8439798725836,189.030177901245,131.800857986189,293.950597745514,209.840839688538,253.196385078731,158.681296128109,50.2924326526247,1.73422181560775,55.495098099448
"01013","Butler County, Alabama",17070.00022364,6469.96809387341,8876.83724594468,650.536130951599,576.746504624625,558.087058886769,462.245360324148,321.451360665784,323.995830539127,346.047902774775,359.618408765943,219.672565732026,434.256191717365,512.286601166579,608.1282997292,313.817951045752,141.642156282812,106.019578055997,44.9523010957428
"01015","Calhoun County, Alabama",101437.35684394,68275.6423950135,24463.1507492048,3678.11063923814,2948.45918514244,2422.51307081834,2352.26985020744,2406.70834618089,2339.0992463429,1983.49294200023,2188.07632202947,1598.03326889793,3492.8441448769,4166.30102248388,4163.66690171097,2609.53564569486,1331.10903057651,1169.54962317145,748.968339763699
"01017","Chambers County, Alabama",36903.77621555,15111.8520050041,17136.9951477046,1376.20218723868,1227.04103245095,1247.72761596166,1170.4251196848,850.327459045421,1196.55554096148,774.11373032176,793.711546279273,684.834790959757,1163.89251436563,1290.18955053627,1651.66037819706,656.526834576682,440.95085904404,236.26255904335,149.161154787737
"01019","Cherokee County, Alabama",24064.502621417,21130.0411834754,860.587511776999,981.939673780504,801.374463625606,745.529553268421,532.388145405164,627.324493012379,653.385451179065,675.723415321939,508.188684250384,419.767576184841,752.975541316045,941.917488024522,1090.83724897702,559.379852077804,342.515450190735,231.756377982318,182.426707166805
"01021","Chilton County, Alabama",46684.9769869,35482.9461059772,7078.76907348545,1776.59757190189,1374.81155834039,771.599665301121,1189.37185977355,1251.18509262917,1099.84924667232,857.925042220169,873.911223131104,774.796901483308,1418.50711949695,1958.84003428655,1939.65661719343,1212.81825844292,538.201424001472,579.765494369903,252.58165839277
"01023","Choctaw County, Alabama",10456.666592983,6374.01123427908,3242.23526191954,556.610551127848,431.333532497934,338.565107309959,448.777168003365,245.796682121984,310.813869005864,212.49519615707,143.51354665832,120.51966349207,252.139822305778,433.712210066856,351.251387677545,222.802798955734,67.3958644528022,118.933878446121,76.9105747284919
"01025","Clarke County, Alabama",21325.177817335,10217.5757369947,8900.01996612541,1616.8165273082,606.197948106985,516.134252959661,481.494370210691,473.700396592172,582.81602725143,267.593094235798,372.378739551434,385.368695582297,521.330235372007,600.135968625915,672.013725330029,633.043857237437,221.695249593412,205.241305287651,159.343460645265
"01027","Clay County, Alabama",11617.680702449,9262.22559356759,1219.21009635969,467.930751049635,401.207292103669,265.160758928127,423.737291228281,357.880370710184,322.352295167527,123.914995185366,259.961528360909,282.491527485521,396.008061536451,342.28267900853,445.400751925023,207.102684260857,175.040762429678,71.056151085315,84.0542275033604
"01029","Cleburne County, Alabama",15694.894389758,13522.8712463276,625.081291081275,661.877198309628,490.629605731106,513.742777735569,488.528408276154,283.661656418412,412.885299897911,242.688306046864,356.152968614229,202.765554402791,571.525707746727,584.132892476434,506.38858664324,282.611057690937,235.334114954535,169.146395123572,63.035923648536
"01031","Coffee County, Alabama",63963.00909423,39260.4416503754,14554.9166259909,1775.88054149195,1556.71333785225,1238.60779656949,1552.95618578985,1259.89832492306,1443.9987759804,1196.02673986235,1256.14117286066,1041.98350530416,2096.4908508163,2452.16791272301,2743.97338956901,1878.5760311974,1501.60844093712,949.307087765088,627.444394419933
"01033","Colbert County, Alabama",59280.28730965,43790.0568237295,9516.26157379642,2146.43972237201,1682.52124356405,1671.63113842772,1650.93993866868,1312.2576689286,1102.0786397973,1259.98516427418,1023.66988281567,1077.03139798372,2270.58692092625,2787.86691490225,2753.01857846597,1410.26861515563,827.647990361606,577.175572225857,386.59873233996
