scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050
"	GCAM-USA_updatedRef",AK,intermediate generation,N2O,0,0,0,0,9.15E-07,2.12E-06,3.70E-06,5.69E-06
"	GCAM-USA_updatedRef",AK,intermediate generation,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,intermediate generation,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,intermediate generation,CH4,7.13E-04,3.63E-04,3.60E-04,4.78E-04,4.33E-04,3.83E-04,3.43E-04,3.18E-04
"	GCAM-USA_updatedRef",AK,intermediate generation,N2O,0.00243764,0.00124564,0.00123372,0.001639,0.00143934,0.00123372,0.00105194,9.21E-04
"	GCAM-USA_updatedRef",AK,intermediate generation,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,intermediate generation,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,other industrial energy use,CH4,4.80E-06,4.43E-06,4.78E-06,5.40E-06,6.07E-06,6.68E-06,7.23E-06,7.78E-06
"	GCAM-USA_updatedRef",AK,other industrial energy use,N2O,3.04E-04,2.81E-04,3.04E-04,3.46E-04,3.87E-04,4.26E-04,4.59E-04,4.95E-04
"	GCAM-USA_updatedRef",AK,other industrial energy use,CH4,3.00E-08,2.78E-08,3.00E-08,3.32E-08,3.65E-08,3.98E-08,4.30E-08,4.60E-08
"	GCAM-USA_updatedRef",AK,other industrial energy use,N2O,2.41E-06,2.23E-06,2.41E-06,2.67E-06,2.94E-06,3.22E-06,3.46E-06,3.70E-06
"	GCAM-USA_updatedRef",AK,other industrial energy use,CH4,0.0013475,0.001245,0.00134,0.001465,0.00159,0.0017125,0.00183,0.0019375
"	GCAM-USA_updatedRef",AK,other industrial energy use,N2O,0.0012814,0.00118306,0.00127246,0.00139166,0.00151086,0.00162708,0.00174032,0.00184164
"	GCAM-USA_updatedRef",AK,other industrial energy use,CH4,3.58E-04,2.80E-04,3.08E-04,2.97E-04,3.00E-04,3.18E-04,3.40E-04,3.88E-04
"	GCAM-USA_updatedRef",AK,other industrial energy use,N2O,0.00282504,0.00221116,0.0024287,0.0023542,0.00237506,0.00250022,0.00267902,0.0030694
"	GCAM-USA_updatedRef",AK,peak generation,CH4,7.50E-06,3.75E-06,3.70E-06,4.98E-06,4.22E-06,3.30E-06,2.45E-06,1.73E-06
"	GCAM-USA_updatedRef",AK,peak generation,N2O,2.57E-05,1.28E-05,1.27E-05,1.70E-05,1.44E-05,1.13E-05,8.28E-06,5.81E-06
"	GCAM-USA_updatedRef",AK,peak generation,CH4,5.43E-04,2.70E-04,2.68E-04,3.53E-04,3.05E-04,2.53E-04,2.03E-04,1.66E-04
"	GCAM-USA_updatedRef",AK,peak generation,N2O,0.00185952,9.27E-04,9.15E-04,0.00120988,0.00104896,8.64E-04,6.94E-04,5.69E-04
"	GCAM-USA_updatedRef",AK,resid clothes dryers,CH4,3.38E-05,3.30E-05,3.20E-05,3.25E-05,3.27E-05,3.53E-05,3.80E-05,4.08E-05
"	GCAM-USA_updatedRef",AK,resid clothes dryers,N2O,2.21E-06,2.14E-06,2.08E-06,2.11E-06,2.13E-06,2.30E-06,2.47E-06,2.66E-06
"	GCAM-USA_updatedRef",AK,resid cooking,CH4,1.42E-04,1.29E-04,1.15E-04,9.82E-05,8.58E-05,7.32E-05,7.80E-05,8.25E-05
"	GCAM-USA_updatedRef",AK,resid cooking,N2O,9.30E-06,8.40E-06,7.48E-06,6.44E-06,5.60E-06,4.80E-06,5.10E-06,5.39E-06
"	GCAM-USA_updatedRef",AK,resid cooking,CH4,1.32E-06,1.23E-06,1.14E-06,9.98E-07,8.68E-07,7.25E-07,7.45E-07,7.83E-07
"	GCAM-USA_updatedRef",AK,resid cooking,N2O,4.98E-05,4.62E-05,4.29E-05,3.75E-05,3.28E-05,2.74E-05,2.81E-05,2.95E-05
"	GCAM-USA_updatedRef",AK,resid cooling,HFC125,6.97E-04,7.25E-04,7.14E-04,7.32E-04,7.53E-04,7.67E-04,7.98E-04,8.51E-04
"	GCAM-USA_updatedRef",AK,resid cooling,HFC134a,0.00128128,0.00132847,0.00130988,0.00134277,0.00137995,0.00140283,0.0014729,0.001557934
"	GCAM-USA_updatedRef",AK,resid cooling,HFC143a,9.66E-04,0.00100128,9.88E-04,0.00101022,0.00104151,0.00105939,0.00110409,0.00117561
"	GCAM-USA_updatedRef",AK,resid cooling,HFC23,3.03E-06,3.14E-06,3.09E-06,3.17E-06,3.26E-06,3.32E-06,3.46E-06,3.69E-06
"	GCAM-USA_updatedRef",AK,resid cooling,HFC32,7.51E-06,7.74E-06,7.65E-06,7.84E-06,8.08E-06,8.22E-06,8.55E-06,9.12E-06
"	GCAM-USA_updatedRef",AK,resid heating,CH4,0.00635,0.00595,0.005725,0.005575,0.00545,0.005275,0.005125,0.005
"	GCAM-USA_updatedRef",AK,resid heating,N2O,0.0078672,0.0073606,0.0070924,0.0068838,0.0067646,0.006556,0.0063474,0.0061984
"	GCAM-USA_updatedRef",AK,resid heating,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,resid heating,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,resid heating,CH4,0.011725,0.010825,0.010125,0.009325,0.008375,0.0075,0.006875,0.006525
"	GCAM-USA_updatedRef",AK,resid heating,N2O,7.66E-04,7.06E-04,6.62E-04,6.11E-04,5.48E-04,4.92E-04,4.50E-04,4.26E-04
"	GCAM-USA_updatedRef",AK,resid heating,CH4,3.33E-05,3.13E-05,2.95E-05,2.65E-05,2.25E-05,1.77E-05,1.30E-05,8.85E-06
"	GCAM-USA_updatedRef",AK,resid heating,N2O,0.00125756,0.00118008,0.00111154,0.00100128,8.49E-04,6.68E-04,4.92E-04,3.34E-04
"	GCAM-USA_updatedRef",AK,resid hot water,CH4,0.0024025,0.002225,0.0021525,0.00214,0.00209,0.00226,0.002435,0.0026
"	GCAM-USA_updatedRef",AK,resid hot water,N2O,1.57E-04,1.45E-04,1.41E-04,1.40E-04,1.37E-04,1.48E-04,1.59E-04,1.71E-04
"	GCAM-USA_updatedRef",AK,resid hot water,CH4,6.53E-06,6.20E-06,5.95E-06,5.25E-06,3.78E-06,3.28E-06,2.72E-06,2.11E-06
"	GCAM-USA_updatedRef",AK,resid hot water,N2O,2.46E-04,2.34E-04,2.25E-04,1.98E-04,1.42E-04,1.24E-04,1.03E-04,7.96E-05
"	GCAM-USA_updatedRef",AK,resid other,CH4,1.63E-04,1.24E-04,1.31E-04,1.36E-04,1.49E-04,1.64E-04,1.75E-04,1.85E-04
"	GCAM-USA_updatedRef",AK,resid other,N2O,1.06E-05,8.14E-06,8.58E-06,8.91E-06,9.74E-06,1.08E-05,1.14E-05,1.21E-05
"	GCAM-USA_updatedRef",AK,resid other,CH4,2.34E-06,2.04E-06,2.19E-06,2.07E-06,2.17E-06,2.36E-06,2.50E-06,2.70E-06
"	GCAM-USA_updatedRef",AK,resid other,N2O,8.85E-05,7.69E-05,8.25E-05,7.78E-05,8.20E-05,8.91E-05,9.48E-05,1.02E-04
"	GCAM-USA_updatedRef",AK,subpeak generation,CH4,5.40E-05,2.70E-05,2.68E-05,3.58E-05,3.08E-05,2.46E-05,1.90E-05,1.45E-05
"	GCAM-USA_updatedRef",AK,subpeak generation,N2O,1.85E-04,9.24E-05,9.15E-05,1.22E-04,1.05E-04,8.31E-05,6.35E-05,4.71E-05
"	GCAM-USA_updatedRef",AK,subpeak generation,CH4,0.003925,0.00195,0.00193,0.00255,0.002435,0.0023425,0.0023675,0.002525
"	GCAM-USA_updatedRef",AK,subpeak generation,N2O,0.01341,0.0066752,0.0066156,0.0087612,0.008344,0.0080162,0.0081056,0.008642
"	GCAM-USA_updatedRef",AK,subpeak generation,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,subpeak generation,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,trn_aviation_intl,N2O,0.0213666,0.0185356,0.0185952,0.0176118,0.0173138,0.0182376,0.0191614,0.020115
"	GCAM-USA_updatedRef",AK,trn_freight,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,trn_freight,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,trn_freight,CH4,3.92E-04,3.58E-04,3.18E-04,2.42E-04,1.49E-04,1.11E-04,1.07E-04,1.11E-04
"	GCAM-USA_updatedRef",AK,trn_freight,N2O,0.00144828,0.00132312,0.00117114,8.94E-04,5.51E-04,4.11E-04,3.93E-04,4.11E-04
"	GCAM-USA_updatedRef",AK,trn_freight_road,CH4,0.00335,0.0025,0.002145,0.0018875,0.001835,0.0018625,0.0019175,0.001965
"	GCAM-USA_updatedRef",AK,trn_freight_road,N2O,0.033376,0.025032,0.0214262,0.0188634,0.018327,0.018625,0.0191614,0.0196382
