scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050
GCAM-USA_updatedRef,AK,base load generation,CO2,1.7869003411631461,0.3668929326134893,0.45849667476947037,0.5033649976661716,0.529210296569845,0.5461012034171759,0.6002788872500566,0.6682582888592526
GCAM-USA_updatedRef,AK,comm cooking,CO2,0.03935301333333333,0.03892052633333334,0.038196282666666664,0.039122482666666666,0.040303156666666666,0.042089498,0.043879264,0.04625757033333333
GCAM-USA_updatedRef,AK,comm cooling,CO2,3.9568466666666663e-4,3.841962666666667e-4,3.6633410000000004e-4,3.565518e-4,3.4941573333333335e-4,3.470927166666666e-4,3.440178133333333e-4,3.605980766666667e-4
GCAM-USA_updatedRef,AK,comm heating,CO2,1.5116712991769106,1.3516924580105467,1.2636025699086535,1.1912671590224533,1.1134235135621695,1.037557067606004,0.8816666722782197,0.904988129347676
GCAM-USA_updatedRef,AK,comm hot water,CO2,0.1259200168953727,0.12528985420760855,0.12419541376336453,0.12644248922280324,0.12814231575385862,0.12965247573944014,0.13015841012951335,0.13586496265598813
GCAM-USA_updatedRef,AK,comm other,CO2,0.4590803322590577,0.45144522139102833,0.457909574073611,0.45222691751665267,0.4326868178610193,0.416681052879564,0.4198967897974886,0.4312217142067047
GCAM-USA_updatedRef,AK,gas to liquids,CO2,0,0,0,0,0,0.0720346,0.24666583333333333,0.4366695666666667
GCAM-USA_updatedRef,AK,H2 central production,CO2,0,0,0.0030005301333333335,0.04204650424076667,0.09847346878563334,0.1715750161763,0.2809641964840333,0.4725937505391667
GCAM-USA_updatedRef,AK,H2 wholesale dispensing,CO2,0,0,0.002524808,0.009439158666666668,0.023958868999999997,0.04387536266666667,0.07573954666666667,0.13461609333333333
GCAM-USA_updatedRef,AK,intermediate generation,CO2,1.0163361743333332,0.4901639233333334,0.4861009046666667,0.6467387698933333,0.6877178085066668,0.7307410981933332,0.7910717018233333,0.8782832662266666
GCAM-USA_updatedRef,AK,oil refining,CO2,1.4911563333333333,1.3834626666666665,1.410486,1.319208,1.246949,1.1494486666666666,1.0225325,0.8940165666666666
GCAM-USA_updatedRef,AK,other industrial energy use,CO2,12.03100937814039,11.036772451251727,11.895347268770644,12.751462939469908,13.6351296103,14.504929254107893,15.32931731817024,16.07884522387843
GCAM-USA_updatedRef,AK,other industrial feedstocks,CO2,-0.09973016076034147,-0.091572319254086,-0.0967179149344089,-0.10121738511880819,-0.09937045536197853,-0.1769913680285674,-0.310172860301678,-0.42861367122320265
GCAM-USA_updatedRef,AK,peak generation,CO2,0.014098720386666666,0.0070220979766666665,0.0069579835966666675,0.00925908896,0.007944062379,0.006377889144000001,0.004925464723666667,0.003758199595333333
GCAM-USA_updatedRef,AK,resid clothes dryers,CO2,0.002441926666666667,0.0023724836666666666,0.0022994656666666664,0.0023371480000000003,0.0023638167666666667,0.0025455364,0.0027397069333333335,0.0029449090000000003
GCAM-USA_updatedRef,AK,resid cooking,CO2,0.01971918390973758,0.019358609502464503,0.019110225985524632,0.01875043545541089,0.018505914094510186,0.01798870154239081,0.018504948484461194,0.01924074566111379
GCAM-USA_updatedRef,AK,resid heating,CO2,0.9840683053761964,0.9125319852436297,0.8559512635904669,0.7831272164405984,0.6885526481063486,0.5874565461949873,0.502430020283719,0.440147499342298
GCAM-USA_updatedRef,AK,resid hot water,CO2,0.22010321146941456,0.20484967514648045,0.19793552280140359,0.1920813031012685,0.17790778292786547,0.1860781448864085,0.1941878995590787,0.2024109816418195
GCAM-USA_updatedRef,AK,resid other,CO2,0.028525461417519257,0.023549755986050067,0.025152341242169644,0.024655776457205774,0.026387406920491834,0.028510154877868805,0.02971254209548251,0.03126290572592198
GCAM-USA_updatedRef,AK,subpeak generation,CO2,0.10152028810000001,0.05056515346666666,0.0501072891,0.0666997727,0.06071182172,0.05395880424,0.04920305764,0.047222051689999996
GCAM-USA_updatedRef,AK,trn_aviation_intl,CO2,1.4877770932349088,1.2901573154889394,1.2948344529085498,1.228896022865236,1.2114801964693414,1.2490120320242106,1.268289520395843,1.2939847915993716
GCAM-USA_updatedRef,AK,trn_freight,CO2,0.18444786341420705,0.1686127678905428,0.15357792548561286,0.129397185885022,0.10063111508022356,0.08849108675752472,0.087007470569459,0.08950280144102148
GCAM-USA_updatedRef,AK,trn_freight_road,CO2,2.7931246978335653,2.7241756605879197,2.612564964739484,2.4196658478891577,2.2267376158809173,2.121851905675634,2.0120687228194414,1.9122116929529094
GCAM-USA_updatedRef,AK,trn_pass,CO2,5.692689607550734,5.132898678337724,5.39846532747093,5.181886367810093,5.06420833680795,5.15847901169524,5.082512167186153,4.8738642979828635
GCAM-USA_updatedRef,AK,trn_pass_road,CO2,0.1087997743586831,0.14277316250747035,0.16690048645645464,0.14061576946100274,0.11780180087086363,0.09156197015885519,0.07145763533461924,0.05959952240953003
GCAM-USA_updatedRef,AK,trn_pass_road_LDV,CO2,0.00698707659186779,0.004917364846628227,0.0029667657774672136,0.0021933519672895966,0.0023420755756198897,0.0024755061389079634,0.0025789798275409666,0.0026968384950907033
GCAM-USA_updatedRef,AK,trn_pass_road_LDV_4W,CO2,1.9845094281118296,1.5384388512673877,1.4208209561866907,1.167171702846006,0.9745197251709846,0.8256611048214649,0.8058079118429816,0.7947718596208343
GCAM-USA_updatedRef,AK,trn_shipping_intl,CO2,0,0,0,0,0,0,0,0
GCAM-USA_updatedRef,AL,base load generation,CO2,38.30921365439337,28.039971930164516,27.888970961168535,27.741806418021884,30.039924888176902,35.061892177795265,39.6819481232988,42.16693818885863
GCAM-USA_updatedRef,AL,biomass liquids,CO2,0.0011418039160996602,0.0010862055086289367,0.0010845275211624334,9.7221663008789e-4,8.338948894096335e-4,0.006468593239410903,0.02012806981131925,0.03332815611074723
GCAM-USA_updatedRef,AL,cement,CO2,0.8191443333333334,0.83583588,0.9515925099999999,1.0904179,1.2090944066666667,1.32629112,1.4362827966666665,1.5451340556666666
GCAM-USA_updatedRef,AL,comm cooking,CO2,0.12666793333333334,0.12580857666666664,0.12126062666666666,0.11472186000000001,0.10616642666666666,0.10155372333333335,0.097388819,0.09994549400000001
GCAM-USA_updatedRef,AL,comm cooling,CO2,0.0027491200000000003,0.002732462333333333,0.0026341799000000003,0.0024951303666666666,0.0023362331666666666,0.002211921433333333,0.0020547871666666668,0.0020920947666666664
GCAM-USA_updatedRef,AL,comm heating,CO2,0.652031998617395,0.6207266368148817,0.5973675898831593,0.5663550890452657,0.522735134192568,0.4791643397575723,0.402090172600479,0.4038030084643756
GCAM-USA_updatedRef,AL,comm hot water,CO2,0.49944582170843804,0.495449788729764,0.485564661898976,0.4680751345315907,0.4420303746527607,0.423857570544111,0.4049216975406533,0.42575666588876304
GCAM-USA_updatedRef,AL,comm other,CO2,0.45696934296505803,0.43017876334262134,0.4827721565983653,0.5690664527268746,0.695680861385235,0.7721201358017069,0.797732152507422,0.8188860270579305
GCAM-USA_updatedRef,AL,gas to liquids,CO2,0,0,0,0,0,0.030014453333333333,0.10277714333333333,0.18194594
GCAM-USA_updatedRef,AL,H2 central production,CO2,0,0,0.01076518817,0.05028800611266667,0.098310893208,0.19825460989766666,0.28298265250933335,0.3176683646326667
GCAM-USA_updatedRef,AL,H2 wholesale dispensing,CO2,0,0,0.011908526666666667,0.04645659333333333,0.10424993333333334,0.16675549,0.22969492333333333,0.29636284333333335
GCAM-USA_updatedRef,AL,intermediate generation,CO2,23.088905364433334,21.3992902255,21.093517363966665,20.571768071799998,19.997689065566664,19.70784529604,19.431514674,19.385970087
GCAM-USA_updatedRef,AL,oil refining,CO2,1.2371736666666668,1.152382,1.1747853333333333,1.0985333333333334,1.0389976666666667,0.9576545,0.8514627,0.7438768333333332
GCAM-USA_updatedRef,AL,other industrial energy use,CO2,14.856397088449876,15.056514740089165,15.949304555650402,16.746007616141796,17.36507827875007,17.964815073696588,18.49493504801976,18.78012927242595
GCAM-USA_updatedRef,AL,other industrial feedstocks,CO2,-0.14172656305019043,-0.13687667268766554,-0.15018141464300075,-0.1607932683657399,-0.15851738909737315,-0.2808531404698426,-0.48932318304749,-0.6765163365126466
GCAM-USA_updatedRef,AL,peak generation,CO2,0.29928018633333336,0.25656700310999997,0.23419341661833334,0.20432509294266668,0.16906029286299998,0.13306423223133332,0.09915329895533333,0.07090221797633334
GCAM-USA_updatedRef,AL,process heat cement,CO2,0.6588862297072843,0.673298271029747,0.7581670342687429,0.8634410008964116,0.9431778345957843,1.0095636488296333,1.072753053049964,1.1309220177242791
GCAM-USA_updatedRef,AL,resid clothes dryers,CO2,0.02554911333333333,0.02598277,0.025805376666666668,0.02624702666666667,0.025855918000000002,0.027476933,0.029112878666666665,0.030722706666666665
GCAM-USA_updatedRef,AL,resid cooking,CO2,0.11622619989666216,0.11149915608454296,0.10516990530952253,0.0962808298932359,0.0879941406120458,0.07870702771494052,0.0813570441506097,0.0842482510319252
GCAM-USA_updatedRef,AL,resid heating,CO2,1.0738640485386513,0.9666989374988036,0.8884516249561663,0.7793529111965519,0.6454054613946096,0.5089751867772806,0.3962856482922077,0.3172298845868486
GCAM-USA_updatedRef,AL,resid hot water,CO2,0.519054479718929,0.45824035290883663,0.42654751061594465,0.39871583056342036,0.3413334283739897,0.3636805050824418,0.385867669468259,0.411192418281568
GCAM-USA_updatedRef,AL,resid other,CO2,0.13845336729165333,0.10014613466864086,0.10556000318177161,0.1101900635062601,0.11891070555725165,0.1286438809491209,0.13483912413058266,0.1414913981793895
GCAM-USA_updatedRef,AL,subpeak generation,CO2,2.019959663333333,1.8094171978666669,1.680700087,1.4988986917666667,1.281865915,1.0606700445,0.8615310011,0.7101875029333332
GCAM-USA_updatedRef,AL,trn_aviation_intl,CO2,0.2575458741872709,0.2386316254370825,0.25100431192036493,0.24499020207647149,0.24347004643290857,0.25431321170842364,0.2611735020663956,0.2699232456196162
GCAM-USA_updatedRef,AL,trn_freight,CO2,0.8543264354173853,0.8710288612807101,0.845719581828583,0.7485367864858509,0.6341946396201643,0.5922097874219451,0.5909031541932933,0.6102301374711924
GCAM-USA_updatedRef,AL,trn_freight_road,CO2,10.309588170271391,10.597517946512676,10.563312320358785,10.04357013506473,9.300469441255043,8.913920896763557,8.458652794462493,8.028884308519359
GCAM-USA_updatedRef,AL,trn_pass,CO2,1.0131720864026117,0.9996248521651149,1.1277982588999171,1.1220382242576137,1.1086181119637397,1.147739965198068,1.1460902244136986,1.1135805449990173
GCAM-USA_updatedRef,AL,trn_pass_road,CO2,0.45587564303459566,0.6123598739676402,0.7184604396618256,0.604377265546494,0.5038826387245493,0.3904064850745877,0.3054538601492253,0.25390727561755233
GCAM-USA_updatedRef,AL,trn_pass_road_LDV,CO2,0.06672942417957127,0.05611136056252063,0.038269748933712266,0.0297250548032387,0.03222167599452003,0.03472796592311578,0.036755402843763635,0.039204621431734
GCAM-USA_updatedRef,AL,trn_pass_road_LDV_4W,CO2,18.9596069610662,15.90319503969229,15.214478910424495,12.835333136630915,10.954871573947145,9.454605939707024,9.18896273500084,9.103877320203013
GCAM-USA_updatedRef,AL,trn_shipping_intl,CO2,0.7210403550469057,0.7304270025519427,0.734749257884631,0.7011472929408237,0.693131108029756,0.6954839469185118,0.6936744598067167,0.6979897895955564
