scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050,Units
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,H2 wholesale dispensing,CO2,0,0,0.0292277,0.0763943,0.1162576,0.1566541,0.18744,0.177973,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,airCO2,CO2,0,0,-1.51E-04,-7.91E-04,-0.446874,-3.66731,-10.7692,-10.8006,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,base load generation,CO2,10.44850791,6.649190811,4.555291039,4.359028221,2.70699752,2.366695111,2.196840374,1.105471828,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,biomass liquids,CO2,0.0079929,0.00758091,0.00663685,0.0053726,0.084578221,0.116178627,0.202591326,0.288065884,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,cement,CO2,0.223403,0.22560206,0.19792089,0.20829813,0.14251285,0.08356424,0.056503308,0.041560438,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,coal to liquids,CO2,0,0,0,0,1.84E-05,2.81E-05,9.82E-05,1.98E-04,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,comm cooking,CO2,0.0345458,0.03415052,0.030943366,0.02803781,0.022306045,0.018309932,0.014300103,0.012281794,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,comm cooling,CO2,7.50E-04,7.48E-04,7.23E-04,7.09E-04,6.70E-04,6.41E-04,5.96E-04,5.75E-04,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,comm heating,CO2,0.18487403,0.16996394,0.153058464,0.134715641,0.105695285,0.078140321,0.032757072,0.023763161,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,comm hot water,CO2,0.1374029,0.13629717,0.1279967,0.12108018,0.09966878,0.080558318,0.058086913,0.048486967,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,comm other,CO2,0.1274021,0.120954,0.1324432,0.1584662,0.1852985,0.2048278,0.2064746,0.1789798,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,gas to liquids,CO2,0,0,0,0,8.10E-05,1.37E-04,4.91E-04,0.001503337,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,intermediate generation,CO2,6.29697419,5.803654758,5.016874744,4.504034939,3.385315773,3.014736049,2.745396082,1.811001219,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,oil refining,CO2,0.337411,0.312746,0.280094,0.236685,0.18721073,0.163375881,0.146006744,0.09902637,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,other industrial energy use,CO2,7.3595824,7.315957,7.89543125,8.436667078,8.368793651,8.465738097,8.469941102,6.955722825,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,peak generation,CO2,0.081621869,0.07030524,0.04613528,0.037405377,0.02064255,0.015042795,0.010617975,0.003851898,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,process heat cement,CO2,0.18308367,0.185185845,0.16197715,0.176644116,0.162785293,0.156793893,0.156776008,0.151596284,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,process heat dac,CO2,0,0,2.99E-06,1.46E-05,0.00769519,0.0580495,0.154394,0.155778,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,regional biomass,CO2,-3.34915,-3.24708,-3.71052,-4.14896,-4.84719,-5.39536,-6.2927,-7.73145,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,regional biomassOil,CO2,-0.11337,-0.107526,-0.094136,-0.076204,-0.0861654,-0.0639079,-0.0645252,-0.0974036,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,regional corn for ethanol,CO2,0,0,0,0,-0.00730794,-0.0122093,-0.0372425,-0.0874797,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,resid clothes dryers,CO2,0.00696794,0.00709255,0.00689385,0.00698269,0.00628022,0.006226794,0.006203965,0.005746061,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,resid cooking,CO2,0.03179088,0.030570963,0.028708577,0.026138836,0.022305678,0.01765307,0.016828769,0.014879497,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,resid heating,CO2,0.33588064,0.299112873,0.273484067,0.237657228,0.190560769,0.141979201,0.099958754,0.066954836,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,resid hot water,CO2,0.142054,0.126355093,0.119059995,0.11241074,0.085900555,0.083291994,0.080553112,0.069800459,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,resid other,CO2,0.03792474,0.02802435,0.03167573,0.03302562,0.03281075,0.03431695,0.03481073,0.02997317,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,subpeak generation,CO2,0.55089809,0.505588189,0.361315689,0.296816094,0.180068575,0.140234983,0.111264529,0.054170472,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,trn_aviation_intl,CO2,0.0729232,0.0673712,0.067319,0.0662786,0.0638312,0.0674271,0.0704113,0.0695592,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,trn_freight,CO2,0.2418995,0.24551631,0.21389645,0.1886784,0.1466772,0.1320261,0.12180447,0.0912541,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,trn_freight_road,CO2,2.919123,2.9909366,2.50195103,2.01569771,1.338873095,0.97047591,0.62397667,0.220779397,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,trn_pass,CO2,0.28687613,0.26905795,0.26611324,0.26326806,0.23700098,0.23709856,0.21576906,0.1346122,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,trn_pass_road,CO2,0.1284491,0.15758698,0.17114118,0.12147356,0.08470017,0.05587069,0.039100788,0.030038082,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,trn_pass_road_LDV,CO2,0.0188942,0.0134671,0.00326178,0.00170163,0.00171903,0.00181666,0.00188184,0.00181029,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,trn_pass_road_LDV_4W,CO2,5.36834527,4.53212083,3.58527972,2.25159088,1.27335042,0.57254371,0.464311,0.36512951,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AL,trn_shipping_intl,CO2,0.20416,0.2054468,0.1846032,0.1785541,0.1633012,0.161469,0.151299,0.0851873,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,H2 central production,CO2,0,0,0.005682061,0.011973842,0.01038328,0.011596005,0.012637954,0.01376661,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,H2 wholesale dispensing,CO2,0,0,0.0188625,0.0490684,0.074781,0.10035175,0.1187,0.1085995,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,airCO2,CO2,0,0,-5.15E-05,-2.70E-04,-0.152277,-1.24817,-3.66019,-3.67071,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,base load generation,CO2,5.40882156,3.435321065,2.118359883,1.887891185,1.032334209,0.935943361,0.894889714,0.496847622,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,biomass liquids,CO2,0.010078,0.00955854,0.0083682,0.00677414,0.10698549,0.146991925,0.256346702,0.364904441,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,cement,CO2,0.0711408,0.0689692,0.0585775,0.06196676,0.041410399,0.023133971,0.01521905,0.011424243,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,coal to liquids,CO2,0,0,0,0,6.25E-08,9.58E-08,3.34E-07,6.76E-07,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,comm cooking,CO2,0.0429122,0.04242309,0.038122991,0.036222024,0.030161686,0.026808494,0.02347882,0.021036682,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,comm cooling,CO2,0.0128198,0.01260283,0.01197565,0.01151773,0.01075213,0.010139675,0.009300739,0.008929432,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,comm heating,CO2,0.3505581,0.32641072,0.29214593,0.26842123,0.21898548,0.174244723,0.098793119,0.078673003,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,comm hot water,CO2,0.09353659,0.09153502,0.08370042,0.07928635,0.065637892,0.056044046,0.045061369,0.039608293,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,comm other,CO2,0.2552617,0.2432058,0.2449433,0.2426154,0.2224173,0.2147886,0.2124172,0.1913958,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,gas to liquids,CO2,0,0,0,0,3.66E-04,6.19E-04,0.002218511,0.006793454,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,intermediate generation,CO2,2.1231589,2.01222352,1.696805325,1.518539957,1.160045113,1.066592428,1.002260372,0.691113308,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,oil refining,CO2,0.231908,0.214955,0.192513,0.162677,0.128672802,0.112291045,0.100352528,0.068062335,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,other industrial energy use,CO2,2.7721072,2.7014327,2.919083805,3.091572397,3.098419559,3.143142664,3.151217966,2.701110188,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,peak generation,CO2,0.02250823,0.019369216,0.012492658,0.010106966,0.005623138,0.004094885,0.002885167,0.001047144,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,process heat cement,CO2,0.058301214,0.056745266,0.048044958,0.052018285,0.047736703,0.045601429,0.045521332,0.044081669,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,process heat dac,CO2,0,0,1.02E-06,4.98E-06,0.00262226,0.0197576,0.0524753,0.0529427,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,regional biomass,CO2,-1.60227,-1.50711,-1.67434,-1.82005,-2.53002,-2.95694,-3.90255,-6.10861,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,regional biomassOil,CO2,-0.142945,-0.135577,-0.118693,-0.0960833,-0.108651,-0.0805956,-0.0814229,-0.122952,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,regional corn for ethanol,CO2,0,0,0,0,-0.00923132,-0.0154219,-0.0470311,-0.110448,MTC
