scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050
GCAM-USA_updatedNZ,AK,base load generation,CO2,1.7879587495028195,0.36695789446899735,0.10615583484711627,0.1037333774639679,0.07217771936399382,0.09169029977692604,0.10836899688562346,0.11630852811841523
GCAM-USA_updatedNZ,AK,coal to liquids,CO2,0,0,0,1.2266734333333332e-7,6.569563623333333e-7,5.068635696666667e-7,7.729509505666666e-6,1.0840905672666667e-5
GCAM-USA_updatedNZ,AK,comm cooking,CO2,0.03935301333333333,0.038920570333333335,0.03478813433333334,0.033818726333333334,0.031208078000000004,0.03184167066666666,0.031945862666666665,0.03308690696666667
GCAM-USA_updatedNZ,AK,comm cooling,CO2,3.9568466666666663e-4,3.8419699999999997e-4,3.5827924000000005e-4,3.4580722000000005e-4,3.3346657666666666e-4,3.3677328666666665e-4,3.395854e-4,3.5804886333333334e-4
GCAM-USA_updatedNZ,AK,comm heating,CO2,1.5119164295475533,1.3519802119316608,1.188698696488215,1.06154051487902,0.874643547965715,0.7454314893518901,0.49600386057409357,0.4760213783124067
GCAM-USA_updatedNZ,AK,comm hot water,CO2,0.1259707856189585,0.12534281570454675,0.11590187253886265,0.11432515993957153,0.10557389681207967,0.10506653599423264,0.10077199336913172,0.10315134593534393
GCAM-USA_updatedNZ,AK,comm other,CO2,0.459469990273954,0.45185329234906296,0.4380448926993627,0.4306345328766141,0.39324500544890734,0.385588004266817,0.38444715816459335,0.388437256355038
GCAM-USA_updatedNZ,AK,gas to liquids,CO2,0,0,0,7.888356666666667e-4,0.004651430666666667,0.0074896066666666665,0.056718031333333335,0.12952399166666667
GCAM-USA_updatedNZ,AK,H2 central production,CO2,0,0,0.0018157667575666664,0.006127184482210001,0.007604741793077001,0.011402567355373332,0.015786638652433,0.025263762231821668
GCAM-USA_updatedNZ,AK,H2 wholesale dispensing,CO2,0,0,0.0032556003333333336,0.011063510333333332,0.025262651333333334,0.04562371366666667,0.07760749333333333,0.12905603333333335
GCAM-USA_updatedNZ,AK,intermediate generation,CO2,1.0163361743333332,0.4901598423333333,0.5124823879999999,0.6049402810733334,0.5845206917366667,0.5909156816933333,0.60712504105,0.63976315106
GCAM-USA_updatedNZ,AK,oil refining,CO2,1.4911563333333333,1.383459,1.3299073333333336,1.2318788533333331,1.0339358333333335,0.9875186566666666,0.87697819,0.7379127799999999
GCAM-USA_updatedNZ,AK,other industrial energy use,CO2,12.03292027132767,11.038281731790207,11.20426379172496,11.976965633322836,12.254561215052677,13.020555464332093,13.52870755604148,13.913604752291972
GCAM-USA_updatedNZ,AK,other industrial feedstocks,CO2,-0.08927384015079054,-0.08192391342691124,-0.08212410441664257,-0.12007659954116677,-0.27038265932201117,-0.323122555097401,-0.43731407224172797,-0.54749217341907
GCAM-USA_updatedNZ,AK,peak generation,CO2,0.014098720386666666,0.0070220281633333334,0.007360190529999999,0.008055868556633334,0.007237462696566666,0.006326282284666667,0.0051274544706,0.004163639615666667
GCAM-USA_updatedNZ,AK,resid clothes dryers,CO2,0.002441926666666667,0.002372487333333333,0.0021962343333333336,0.002132474666666667,0.001961891066666667,0.002083500833333333,0.0022298261333333334,0.0023534316666666668
GCAM-USA_updatedNZ,AK,resid cooking,CO2,0.019733170337115805,0.01937298959172166,0.018594040370278887,0.017658946135614337,0.016301562241085806,0.015537777503113139,0.015743087224301323,0.01589264269738864
GCAM-USA_updatedNZ,AK,resid heating,CO2,0.9844724846171123,0.9129183733208843,0.8423773751159139,0.7457277994414526,0.6118713785790869,0.48792668478662904,0.377281740237325,0.28871794929879846
GCAM-USA_updatedNZ,AK,resid hot water,CO2,0.22017227639541312,0.20491695011453562,0.19245071650238355,0.18037238927556862,0.155096853266832,0.16216536637819906,0.16692279642379218,0.16842129902589054
GCAM-USA_updatedNZ,AK,resid other,CO2,0.02855027746621343,0.023571890882392744,0.024176705716733166,0.02386388653689264,0.02525251699658347,0.027943829197159185,0.02795044888355434,0.02841191235991233
GCAM-USA_updatedNZ,AK,subpeak generation,CO2,0.10152028810000001,0.050564642699999995,0.05313337076666667,0.06099738906066667,0.058042681565,0.056139649357,0.05460041991066667,0.055141612306
GCAM-USA_updatedNZ,AK,trn_aviation_intl,CO2,1.4899733902950052,1.292096611578058,1.2209793543421577,1.158541531069692,1.045760791942812,1.085769145020791,1.085093924163194,1.0938999598370176
GCAM-USA_updatedNZ,AK,trn_freight,CO2,0.1847201502171905,0.16886621825229128,0.1483883689160602,0.12342153713738017,0.0879739031683655,0.07749715357708867,0.0742261111583717,0.07412764583920263
GCAM-USA_updatedNZ,AK,trn_freight_road,CO2,2.7972479881933325,2.7282744824955323,2.342628684215545,2.1770429683364854,1.752914539591204,1.6462220449038687,1.4309330051740752,1.230406703540454
GCAM-USA_updatedNZ,AK,trn_pass,CO2,5.701093303433111,5.140614177764193,4.7962605901203395,4.660342839491204,4.028613413590407,4.105975109462929,3.8295542004553536,3.4322974054890363
