"lat","lon","SOx","NOx","NH3","VOC","PM2_5","PM10","CO"
20.66347,-69.4556899999999,73561.0571985201,65103.1507811159,171.816433077327,3462.70792071422,8926.56031042046,776.252895782935,7927.20367551338
20.69426,-69.5611900000001,0,0,0,0,0,0,0
20.72495,-69.6667500000001,0,0,0,0,0,0,0
20.75555,-69.7723999999999,12.5801551652956,464.311859804773,0.411310837790086,34.6690507196798,21.3695732363043,0.746938766568374,86.693543698487
20.76215,-69.4226699999999,231009.102682015,200000.433421672,541.587778920824,11008.187735964,28137.6808229356,2446.85530976231,24556.2494333603
20.78601,-69.8781099999999,0,0,0,0,0,0,0
20.79301,-69.52826,173333.848548957,144416.003424368,403.348409009379,7830.18560472861,20955.5851505561,1822.29787737666,17802.3632908125
20.81638,-69.9838900000002,0,0,0,0,0,0,0
20.82375,-69.6339699999999,96671.2782458531,83048.2164180651,225.067324423305,4421.31103163849,11693.1599289612,1016.83775299628,10125.0012792065
20.84663,-70.0897800000001,0,0,0,0,0,0,0
20.85438,-69.7397199999998,0,0,0,0,0,0,0
20.86086,-69.3895899999999,291006.564104306,241832.584693652,674.980143025603,12889.6015369775,35067.9548220156,3049.50815055341,29642.7485110885
20.8767600000001,-70.19571,73020.1947252925,63378.4933614664,170.286793200734,3403.05267281699,8847.08935033603,769.340825175013,7764.32769112465
20.8849,-69.8455199999999,0,0,0,0,0,0,0
20.89178,-69.4952999999998,234092.797636027,189994.237098537,543.92259931516,10352.2850894451,28258.9844109953,2457.40834018547,23381.6710771078
20.90678,-70.30173,144964.207612422,154702.43322097,346.567398839839,8274.55847838964,18005.5814994038,1565.76792581717,18561.1785370869
20.91531,-69.9514499999998,0,0,0,0,0,0,0
20.92257,-69.6010699999999,306536.522133624,277982.128626612,721.010734048131,15156.3456200505,37459.430793165,3257.48125753682,33925.2333018285
20.93671,-70.4078399999999,171618.601695955,185416.804268965,411.793037351387,10061.2082905268,21394.3179762468,1860.4572536132,22395.8096989092
20.94561,-70.0574299999999,170597.275375795,185789.762112383,409.638687615542,10042.7441231763,21282.3902981397,1850.72966190345,22378.4540629006
20.95325,-69.70694,360715.478207606,331776.717374419,847.887397515956,17886.5368785375,44051.1876155657,3830.69927568682,40330.4123460953
20.95963,-69.3564100000002,254541.811619243,263527.023594695,607.009587935231,14256.8832728677,31536.6091747544,2742.42936166417,31893.9952848735
20.96651,-70.5139799999999,0,0,0,0,0,0,0
20.9758,-70.1634800000001,202618.439876169,220143.02393602,485.574433341531,11750.4448405288,25227.560492211,2193.79299073253,26226.5819132607
20.98383,-69.8129,329712.785897703,304555.030905842,774.050761397124,16259.1172233133,40215.0751005407,3497.11091659864,36896.4662294142
20.99059,-69.4622200000001,321712.458488559,309920.30826773,759.960245634122,16753.5597204198,39483.0155752749,3433.45142788945,37728.5214507215
20.99621,-70.6202400000001,0,0,0,0,0,0,0
21.00588,-70.2695899999999,129791.958272699,126640.587905383,307.391622540208,6906.88647857935,15970.24121708,1388.7758158265,15451.4428111448
21.0143,-69.9189100000002,198713.720287291,174515.596930318,463.381866223033,9237.02706269762,24074.5665508462,2093.52273681691,21111.0050859528
21.02145,-69.56815,265420.416564138,232883.02484431,620.582507493265,12513.6712687267,32241.7784632775,2799.38008600157,28813.8047162702
21.02579,-70.72656,0,0,0,0,0,0,0
21.03586,-70.3758200000001,82302.9366102282,72696.5411274797,192.573900258268,3962.55750128171,10004.9947369111,870.035997581107,8999.46370160611
21.04464,-70.0249899999999,122885.353435437,103956.423659148,285.117407886636,5460.16790109861,14813.0053031741,1288.13615822772,12527.7502129467
21.05217,-69.6741000000001,218777.121983589,186354.275490783,513.159232568266,10001.7113051583,26660.7070072662,2302.18173306531,23863.5698380508
21.05526,-70.83295,81450.7202709694,74785.6375793035,191.225367502141,4044.200877571,9934.93313622734,863.931399804312,9028.86826591613
21.05844,-69.3231800000001,425566.58476215,352701.219616372,1002.3891467538,21345.3401454919,52078.1798138618,4528.7060684797,45017.6410502629
21.06571,-70.4820900000002,58100.2303015511,47050.4422080844,134.450699992371,2521.27653883194,6985.25895885022,607.436064673023,5768.81223887564
