scenario,region,sector,subsector,GHG,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,biomass,PM10,0,0,0,0.00E+00,0.00E+00,2.98E-09,1.08E-08,1.59E-08,1.64E-08,1.68E-08,1.21E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Tg
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,biomass,PM2.5,0,0,0,0,0,2.98E-09,1.08E-08,1.59E-08,1.64E-08,1.68E-08,1.21E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Tg
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,biomass,BC,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.28E-10,5.35E-09,1.10E-08,1.82E-08,3.21E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Tg
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,biomass,CH4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.74E-09,2.14E-08,1.49E-07,3.09E-07,5.20E-07,9.38E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Tg
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,biomass,CO,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.49E-07,5.25E-07,3.49E-06,7.03E-06,1.15E-05,2.02E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Tg
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,biomass,CO2,0,0,0,0,0,3.47E-05,1.23E-04,7.65E-04,1.47E-03,2.37E-03,0.003936362,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,biomass,N2O,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E-09,4.28E-09,2.98E-08,6.18E-08,1.04E-07,1.88E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Tg
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,biomass,NH3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E-08,1.35E-07,8.98E-07,1.81E-06,2.97E-06,5.19E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Tg
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,biomass,NMVOC,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.73E-09,9.63E-09,6.39E-08,1.29E-07,2.11E-07,3.70E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Tg
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,biomass,NOx,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.09E-08,1.80E-07,1.19E-06,2.41E-06,3.95E-06,6.91E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Tg
