"","STNAME","scenario","black","total","white","disparity"
"1","Alabama","elec_2017",35.4996862014,35.4560712357847,35.469753158892,0.0299330425080129
"2","Alabama","nz2050_2017",37.7156070342038,37.6519207424181,37.6595903797002,0.0560166545035941
"3","Alabama","nz_2016meteo",34.5323859119842,34.6400747348654,34.7141822861782,-0.181796374194015
"4","Alabama","nz_equity_2017",36.6874469262877,36.9541283050875,37.1005972654542,-0.413150339166478
"5","Alabama","ref2017",42.6423163461803,42.4838855340625,42.454421563634,0.187894782546344
"6","Alabama","ref2050_2017",41.1544746691065,40.9880744386536,40.9579383972662,0.196536271840273
"7","Alabama","ref_2016meteo",38.7522960752086,38.8512636726975,38.9285623879329,-0.176266312724366
"8","Arizona","elec_2017",37.4829734380684,37.6415230495256,37.8036572313649,-0.320683793296475
"9","Arizona","nz2050_2017",38.9603668945489,39.0802607237254,39.2814238623324,-0.321056967783491
"10","Arizona","nz_2016meteo",38.6728892831198,38.9022641179409,39.0975532445541,-0.424663961434348
"11","Arizona","nz_equity_2017",38.1180818999777,38.3476976741285,38.5401073478011,-0.422025447823415
"12","Arizona","ref2017",42.1676217318265,42.1691520590862,42.44514106412,-0.277519332293593
"13","Arizona","ref2050_2017",40.4896989322856,40.5807399035226,40.8196508573804,-0.329951925094804
"14","Arizona","ref_2016meteo",40.9687818377948,41.0860408039221,41.3374271444856,-0.368645306690773
"15","Arkansas","elec_2017",36.2204480841771,36.6687664877882,36.6918741524131,-0.471426068236049
"16","Arkansas","nz2050_2017",38.4636505763126,38.8140663247019,38.81281331246,-0.349162736147449
"17","Arkansas","nz_2016meteo",35.4258357190069,35.4487972431542,35.3809137734993,0.0449219455076459
"18","Arkansas","nz_equity_2017",38.3487781047217,38.7896127448339,38.8306920957616,-0.481913991039889
"19","Arkansas","ref2017",43.3306917834081,43.9062377279865,43.9202429556765,-0.589551172268408
"20","Arkansas","ref2050_2017",41.4507415774171,41.6156636656993,41.5819109594723,-0.131169382055219
"21","Arkansas","ref_2016meteo",40.0367342071533,40.167121075304,40.0983057506947,-0.0615715435414259
"22","California","elec_2017",43.6760788105732,42.5036003606055,40.9986147718488,2.67746403872438
"23","California","nz2050_2017",46.0747967717078,44.7675582222599,43.1243975234322,2.95039924827564
"24","California","nz_2016meteo",44.6163223983622,43.4010506640552,41.5977270629691,3.01859533539311
"25","California","nz_equity_2017",44.2628334138741,43.1805058298049,41.8280923476702,2.43474106620386
"26","California","ref2017",46.9512750298931,45.7254728808555,44.0868206061971,2.864454423696
"27","California","ref2050_2017",48.0136691283802,46.6733346472548,44.9374344481749,3.07623468020526
"28","California","ref_2016meteo",45.1987474044776,44.0917697874193,42.3175157155592,2.88123168891844
"29","Colorado","elec_2017",50.2848671371128,50.1870875468426,50.2421988329189,0.0426683041939455
"30","Colorado","nz2050_2017",51.8649026963399,51.8311533229982,51.9089030572713,-0.0440003609314346
"31","Colorado","nz_2016meteo",53.3318140697369,53.0079045719277,53.036572931336,0.295241138400954
"32","Colorado","nz_equity_2017",51.2771325265099,51.3851584747199,51.4644701933816,-0.187337666871755
"33","Colorado","ref2017",55.6075288123057,55.7306252569141,55.8391881212332,-0.231659308927512
"34","Colorado","ref2050_2017",53.7582821511982,53.8188564489371,53.9226057037009,-0.164323552502758
"35","Colorado","ref_2016meteo",56.6482705056232,56.2614894150684,56.2540654327679,0.394205072855264
"36","Connecticut","elec_2017",40.4042898436424,40.179537904921,39.9831490987972,0.421140744845218
"37","Connecticut","nz2050_2017",42.7510111586005,42.5113930704443,42.3018342943721,0.449176864228363
"38","Connecticut","nz_2016meteo",46.9543875523159,46.620171820348,46.3118214630624,0.642566089253492
"39","Connecticut","nz_equity_2017",42.5043021052313,42.2880025840329,42.0986959460035,0.40560615922783
"40","Connecticut","ref2017",44.7829569507485,44.5387829702795,44.3157132490508,0.467243701697647
"41","Connecticut","ref2050_2017",45.4883147748141,45.2434010720762,45.030639895551,0.457674879263081
"42","Connecticut","ref_2016meteo",49.4225901402337,49.0832526128721,48.762365834999,0.660224305234621
"43","Delaware","elec_2017",42.669233731532,42.4207394292112,42.1961511868898,0.473082544642246
"44","Delaware","nz2050_2017",45.3261233139163,45.0066063622219,44.7117466736769,0.614376640239442
"45","Delaware","nz_2016meteo",46.6002138465452,46.3192176367211,46.0665157817658,0.533698064779372
"46","Delaware","nz_equity_2017",44.8915075586869,44.6416976252575,44.4055445075049,0.48596305118194
"47","Delaware","ref2017",50.2673007022107,49.9256778536957,49.6265585125962,0.640742189614528
"48","Delaware","ref2050_2017",49.1061349109914,48.6789121099287,48.2752708296851,0.830864081306302
"49","Delaware","ref_2016meteo",51.5897907102904,51.2777256180929,50.9983402520579,0.591450458232522
"50","District of Columbia","elec_2017",41.8021583557129,41.8021583557129,41.8021583557129,-7.105427357601e-15
"51","District of Columbia","nz2050_2017",44.361156463623,44.361156463623,44.361156463623,0
"52","District of Columbia","nz_2016meteo",47.434009552002,47.434009552002,47.434009552002,7.105427357601e-15
"53","District of Columbia","nz_equity_2017",43.2510795593262,43.2510795593262,43.2510795593262,0
"54","District of Columbia","ref2017",50.336986541748,50.336986541748,50.336986541748,1.4210854715202e-14
"55","District of Columbia","ref2050_2017",47.4442329406738,47.4442329406738,47.4442329406738,0
