"","STNAME","scenario","black","total","white","disparity"
"1","Alabama","elec_2017",6.91389677342156,6.73811609409456,6.66931135404022,0.244585419381341
"2","Alabama","nz2050_2017",7.14743645086816,6.96887452258698,6.89876049909015,0.248675951778012
"3","Alabama","nz_2016meteo",7.69528808580679,7.53268946463085,7.46932731482839,0.225960770978398
"4","Alabama","nz_equity_2017",6.83424695372551,6.77162941700812,6.74651477354367,0.08773218018184
"5","Alabama","ref2017",7.42842517566513,7.33965735671733,7.30116540171803,0.127259773947101
"6","Alabama","ref2050_2017",7.81146939467322,7.61932014315506,7.5431557964405,0.268313598232716
"7","Alabama","ref_2016meteo",8.1303720292399,8.07757897839302,8.0529623100478,0.0774097191921026
"8","Arizona","elec_2017",4.32393587671806,4.16972134958058,4.18431356573413,0.139622310983932
"9","Arizona","nz2050_2017",4.39315602590787,4.23486450810051,4.25007216588716,0.143083860020708
"10","Arizona","nz_2016meteo",4.01786598561271,3.86253150173958,3.86471266298273,0.153153322629982
"11","Arizona","nz_equity_2017",4.1773398232235,4.05622004323888,4.06983340735137,0.107506415872134
"12","Arizona","ref2017",4.55211278510045,4.35712881733658,4.37731000716138,0.17480277793907
"13","Arizona","ref2050_2017",4.60853811329478,4.43514930888622,4.45149538185563,0.157042731439144
"14","Arizona","ref_2016meteo",4.16179738727218,3.97295026224771,3.97886431786909,0.18293306940309
"15","Arkansas","elec_2017",7.39720321511155,7.71544236185181,7.75072752361992,-0.353524308508367
"16","Arkansas","nz2050_2017",7.61745460562036,7.9316741191008,7.96567110428977,-0.348216498669411
"17","Arkansas","nz_2016meteo",9.07336461452141,8.81365760274688,8.78199351486598,0.291371099655425
"18","Arkansas","nz_equity_2017",7.42339747306103,7.85946357026174,7.91377065802794,-0.49037318496691
"19","Arkansas","ref2017",8.61725245824088,9.13886229585617,9.18780565999162,-0.570553201750743
"20","Arkansas","ref2050_2017",8.20498320321413,8.49986491025061,8.5290760102453,-0.324092807031171
"21","Arkansas","ref_2016meteo",10.2777806998738,10.1999656993045,10.1779442970936,0.0998364027802126
"22","California","elec_2017",8.99497123085728,8.97392370116393,9.08210916538673,-0.0871379345294514
"23","California","nz2050_2017",9.21594239256714,9.18208623443297,9.28527195506097,-0.0693295624938326
"24","California","nz_2016meteo",7.46911732084338,7.43547320309284,7.66566379782442,-0.196546476981039
"25","California","nz_equity_2017",8.90641345704211,8.8886952504473,9.08381364572689,-0.17740018868478
"26","California","ref2017",9.72039570461146,9.69269402502228,9.7984927462841,-0.0780970416726401
"27","California","ref2050_2017",9.80019055324436,9.7212430339839,9.81196552201724,-0.0117749687728814
"28","California","ref_2016meteo",7.94948823838042,7.93064038039208,8.15521697696825,-0.205728738587838
"29","Colorado","elec_2017",5.0690492910961,4.06250489905694,3.87018638196808,1.19886290912802
"30","Colorado","nz2050_2017",5.19950609442218,4.16613780314498,3.96829967473834,1.23120641968384
"31","Colorado","nz_2016meteo",5.62388771470541,4.43251126366084,4.18385608271551,1.44003163198991
"32","Colorado","nz_equity_2017",4.39405593466087,3.79809850292043,3.66873698869747,0.725318945963398
"33","Colorado","ref2017",5.52558594260089,4.43627101630697,4.23450637507845,1.29107956752245
"34","Colorado","ref2050_2017",5.73328585636711,4.54302476596717,4.31756812861129,1.41571772775583
