"","STNAME","scenario","black","total","white","disparity"
"1","Alabama","jie_2017NZ2050",8.43490612085042,8.18155732001576,8.06692162430395,0.367984496546475
"2","Alabama","jie_NEI2017",8.89030065685447,8.69826821445994,8.60697025606839,0.283330400786078
"3","Alabama","jie_RCP45NZ2050",9.77034761923323,9.54689001005218,9.44242877814403,0.3279188410892
"4","Alabama","jie_equityNZ2050scaled",7.49555403169516,7.31231581650128,7.22495146391364,0.270602567781519
"5","Alabama","jie_newNZ2050",9.29104402859427,9.05996802437067,8.95462726217787,0.3364167664164
"6","Alabama","pengfei_2017",8.90009249356593,8.73187477019301,8.64687676701533,0.253215726550595
"7","Alabama","pengfei_NZ2050",7.5889672328739,7.34177992787794,7.22764526937588,0.361321963498018
"8","Alabama","pengfei_NZ2050RCP",6.86393365696901,6.66211790086461,6.57144642316709,0.292487233801924
"9","Alabama","pengfei_REF2050",8.31130561032379,8.06257227124785,7.94780082401444,0.363504786309353
"10","Arizona","jie_2017NZ2050",3.33081688897337,3.30661631009437,3.3236569717483,0.00715991722506626
"11","Arizona","jie_NEI2017",4.05691352303128,3.97629565369496,4.00302202922422,0.0538914938070603
"12","Arizona","jie_RCP45NZ2050",6.05269628673641,6.00367049112901,6.00257134508892,0.0501249416474883
"13","Arizona","jie_equityNZ2050scaled",3.88023343056875,3.83585607331675,3.83998637341232,0.0402470571564262
"14","Arizona","jie_newNZ2050",3.81310331645508,3.77301476371107,3.79229114879029,0.0208121676647814
"15","Arizona","pengfei_2017",4.88253843192499,4.75396883897791,4.78057415692958,0.101964274995407
"16","Arizona","pengfei_NZ2050",3.91413784665188,3.85979161621885,3.87027563470157,0.0438622119503065
"17","Arizona","pengfei_NZ2050RCP",3.8589713544068,3.83004727931155,3.81819576903706,0.0407755853697398
"18","Arizona","pengfei_REF2050",4.12331097901448,4.06155564105694,4.07264646262011,0.0506645163943746
"19","Arkansas","jie_2017NZ2050",7.34486842866015,7.33249060214519,7.35401812502817,-0.00914969636802709
"20","Arkansas","jie_NEI2017",9.08058094681338,8.98247850894783,8.97514964706752,0.105431299745856
"21","Arkansas","jie_RCP45NZ2050",10.5043204939999,10.4582655804414,10.4587484349812,0.0455720590186814
"22","Arkansas","jie_equityNZ2050scaled",7.43994446930351,7.27405815358338,7.2837856902708,0.156158779032715
"23","Arkansas","jie_newNZ2050",8.61939157626011,8.36057267758884,8.35573052578157,0.263661050478543
"24","Arkansas","pengfei_2017",10.0745306572615,9.79122399074942,9.75555686035587,0.31897379690567
"25","Arkansas","pengfei_NZ2050",7.61105479126208,7.39436018451217,7.38924299587367,0.221811795388403
"26","Arkansas","pengfei_NZ2050RCP",7.47038639899604,7.40043859586666,7.39419204060366,0.0761943583923763
"27","Arkansas","pengfei_REF2050",8.08356862666412,7.78223042089723,7.7701781877941,0.313390438870021
"28","California","jie_2017NZ2050",6.55512242950605,7.16677612135647,8.32002929472618,-1.76490686522013
"29","California","jie_NEI2017",8.15570898538217,8.79007184195243,10.0787457058447,-1.92303672046256
"30","California","jie_RCP45NZ2050",8.09683022650494,8.61770031668252,9.39644793897745,-1.29961771247251
"31","California","jie_equityNZ2050scaled",7.64793633990512,8.22769281055445,9.53115244314677,-1.88321610324165
"32","California","jie_newNZ2050",8.08845539310836,8.78903238909501,10.0708371934643,-1.98238180035591
"33","California","pengfei_2017",8.80990617790229,9.27094815403484,10.3437272241197,-1.53382104621737
"34","California","pengfei_NZ2050",7.39383759938697,7.93432190430457,9.00906940904617,-1.6152318096592
"35","California","pengfei_NZ2050RCP",7.78610549328123,8.07835840846936,9.02835749124869,-1.24225199796746
"36","California","pengfei_REF2050",7.92873061244438,8.5086212678924,9.61116404210801,-1.68243342966363
"37","Colorado","jie_2017NZ2050",3.87407093166977,3.88736656417395,3.89563278084,-0.0215618491702259
"38","Colorado","jie_NEI2017",5.03344959545653,5.08938512261478,5.12698402956385,-0.0935344341073199
"39","Colorado","jie_RCP45NZ2050",5.41653210471052,5.33860333485189,5.31154355852844,0.104988546182079
"40","Colorado","jie_equityNZ2050scaled",3.71237273676656,3.73992162899907,3.74840770564285,-0.036034968876288
"41","Colorado","jie_newNZ2050",4.35013486131948,4.42401108611228,4.4539004622134,-0.103765600893913
"42","Colorado","pengfei_2017",5.14776963896433,5.25805620775376,5.30744804476692,-0.159678405802593
"43","Colorado","pengfei_NZ2050",3.6942613495448,3.71867879538302,3.73123821082336,-0.0369768612785562
"44","Colorado","pengfei_NZ2050RCP",3.28558118974019,3.3057859182293,3.31193442469404,-0.0263532349538531
"45","Colorado","pengfei_REF2050",4.00574741272722,4.03427225558643,4.05030133808485,-0.0445539253576284
"46","Connecticut","jie_2017NZ2050",6.92301165782056,6.8727512092329,6.81564111391303,0.107370543907533
"47","Connecticut","jie_NEI2017",8.9333264690365,8.85703627054,8.77246726408914,0.160859204947366
