"","STNAME","scenario","black","total","white","disparity"
"1","Alabama","elec_2017",35.3843935734059,35.4452443268743,35.4531468723903,-0.0687532989843831
"2","Alabama","nz2050_2017",37.5665991069942,37.6296100818162,37.6352518786496,-0.0686527716553726
"3","Alabama","nz_2016meteo",34.3761589696005,34.630184559144,34.7024851547856,-0.326326185185103
"4","Alabama","nz_equity_2017",36.5457824401099,36.9438532198845,37.0810144477356,-0.535232007625652
"5","Alabama","ref2017",42.3921103176376,42.4335185604564,42.4198679304988,-0.0277576128612438
"6","Alabama","ref2050_2017",40.9886186358359,40.9734996793982,40.9493376659652,0.0392809698707097
"7","Alabama","ref_2016meteo",38.5192266589639,38.84374979671,38.9317915721646,-0.412564913200647
"8","Arizona","elec_2017",37.4041090372428,37.7379477125632,37.8161683833843,-0.412059346141497
"9","Arizona","nz2050_2017",38.8574976373302,39.1449262580715,39.2481614545536,-0.390663817223377
"10","Arizona","nz_2016meteo",38.5416725376306,39.0421403029238,39.1430919388683,-0.601419401237685
"11","Arizona","nz_equity_2017",38.0422465628846,38.4898101117866,38.5890289347528,-0.546782371868154
"12","Arizona","ref2017",41.9788716142409,42.1442141468287,42.2742218536742,-0.295350239433347
"13","Arizona","ref2050_2017",40.367674527492,40.621465176289,40.7484672334841,-0.380792705992107
"14","Arizona","ref_2016meteo",40.7593484304751,41.1470037868673,41.2700756312623,-0.510727200787173
"15","Arkansas","elec_2017",35.8622137948786,36.4027302374071,36.4423162930059,-0.580102498127296
"16","Arkansas","nz2050_2017",38.0804944663158,38.5311634945392,38.5485124838882,-0.46801801757244
"17","Arkansas","nz_2016meteo",35.1489661889415,35.183767525782,35.1217491172451,0.0272170716964126
"18","Arkansas","nz_equity_2017",37.8871202317825,38.545982152173,38.6165237963934,-0.729403564610834
"19","Arkansas","ref2017",42.5097649101094,43.3799333239045,43.4414365933207,-0.931671683211349
"20","Arkansas","ref2050_2017",41.0833359643056,41.3343019012608,41.3151707321846,-0.231834767879093
"21","Arkansas","ref_2016meteo",39.2020773517636,39.6416469860277,39.620493414103,-0.418416062339489
"22","California","elec_2017",43.9032999518433,42.8788934233106,41.9097752997236,1.99352465211969
"23","California","nz2050_2017",46.2634756194941,45.1882539753256,44.1586080024331,2.10486761706107
"24","California","nz_2016meteo",44.8741531678041,43.8425511441693,42.6657202669729,2.20843290083126
"25","California","nz_equity_2017",44.3060227222541,43.590349679667,42.9366898689155,1.36933285333865
"26","California","ref2017",47.1094314785186,46.1528363379724,45.1725159253371,1.93691555318153
"27","California","ref2050_2017",48.1460343763082,47.1406057422943,46.1124371965383,2.03359717976986
"28","California","ref_2016meteo",45.4018575384856,44.5346237418398,43.4437520927959,1.95810544568973
"29","Colorado","elec_2017",50.6242896203063,49.9075624545529,49.8402837009626,0.784005919343755
"30","Colorado","nz2050_2017",52.2156873122827,51.5237709185009,51.4726209314425,0.743066380840197
"31","Colorado","nz_2016meteo",53.7521087019103,52.6867687071395,52.577287648834,1.17482105307627
"32","Colorado","nz_equity_2017",51.5342917109654,51.1338350351834,51.0973479028204,0.43694380814506
"33","Colorado","ref2017",55.9137493132671,55.4361841837799,55.4217230280056,0.492026285261481
"34","Colorado","ref2050_2017",54.0940894321647,53.493895244594,53.4702288139431,0.623860618221606
"35","Colorado","ref_2016meteo",57.0495372674058,55.9120337714696,55.7730775362505,1.27645973115523
"36","Connecticut","elec_2017",40.3923773198197,40.0634859252111,39.9339666729334,0.458410646886271
"37","Connecticut","nz2050_2017",42.7333791315259,42.3839461531187,42.2448300330429,0.48854909848307
"38","Connecticut","nz_2016meteo",46.915823754746,46.4146777672862,46.2139376242714,0.701886130474527
"39","Connecticut","nz_equity_2017",42.4903155474021,42.1761701397115,42.050852090218,0.439463457184104
"40","Connecticut","ref2017",44.7367856383648,44.3810765024227,44.231524400066,0.505261238298814
"41","Connecticut","ref2050_2017",45.4684820100185,45.1129470455754,44.9708582370625,0.497623772956011
"42","Connecticut","ref_2016meteo",49.3620187073163,48.8508733234026,48.6409147795351,0.721103927781215
"43","Delaware","elec_2017",42.6732916084193,42.4872828517543,42.4046684622875,0.268623146131752
"44","Delaware","nz2050_2017",45.3369436678524,45.0966900232288,44.9881691764934,0.348774491359016
"45","Delaware","nz_2016meteo",46.603640290727,46.3935267568298,46.3005826957708,0.303057594956201
"46","Delaware","nz_equity_2017",44.9051459186809,44.7163074039972,44.6293412535945,0.27580466508644
"47","Delaware","ref2017",50.2639999563321,50.009994229723,49.9000544068014,0.363945549530776
"48","Delaware","ref2050_2017",49.1292511368538,48.8063412736608,48.6576976776378,0.471553459215997
"49","Delaware","ref_2016meteo",51.5924380047505,51.3593163688556,51.2565699663872,0.33586803836328
"50","District of Columbia","elec_2017",41.8021583557129,41.8021583557129,41.8021583557129,0
"51","District of Columbia","nz2050_2017",44.361156463623,44.361156463623,44.361156463623,0
"52","District of Columbia","nz_2016meteo",47.434009552002,47.434009552002,47.434009552002,0
"53","District of Columbia","nz_equity_2017",43.2510795593262,43.2510795593262,43.2510795593262,0
"54","District of Columbia","ref2017",50.336986541748,50.336986541748,50.336986541748,0
"55","District of Columbia","ref2050_2017",47.4442329406738,47.4442329406738,47.4442329406738,0
"56","District of Columbia","ref_2016meteo",53.2940521240234,53.2940521240234,53.2940521240234,0
"57","Florida","elec_2017",29.2943435014642,29.1124731587252,29.5630805269835,-0.268737025519222
"58","Florida","nz2050_2017",30.7584340474436,30.5532763780657,31.1177762232719,-0.359342175828246
